N∞|RUC|PROVEEDOR|MODALIDAD|DEPARTAMENTO|PROVINCIA|DISTRITO|UBIGEO|DOMICILIO LEGAL|EMAIL|TEl…FONO|ESTADOS CONTRATOS|FECHA ACTUALIZACI”N|||||||||||||||||||||||||||||
1|20561372111|CONSORCIO DEL NORTE|PRODUCTOS|AMAZONAS|CHACHAPOYAS|CHACHAPOYAS|010101|JIRON LOS ROSALES N∞ 144|bioindustriasjb.eirl@gmail.com|951424380|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
2|10167637316|CONSORCIO ALIMENTOS JOSAD|PRODUCTOS|AMAZONAS|BAGUA|BAGUA|010201|JIRON PIURA N∞ 158 |consorcioalimentosbagua@gmail.com|964502457|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
3|10412710156|CONSORCIO DELGADO|PRODUCTOS|AMAZONAS|BAGUA|BAGUA|010201|JIRON LA LIBERTAD N∞ 217|roxanadel24@gmail.com|941874357|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
4|20600726634|CONSORCIO CHACHAPOYAS|PRODUCTOS|AMAZONAS|BAGUA|LA PECA|010206|CENTRO POBLADO LA PECA - JIRON MARA—ON N∞ 123 MZA 11 LOTE 18|sharony_ph@hotmail.com|920122450|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
5|20493681274|INDUSTRIAS ALIMENTARIAS SAN JUAN S.A.C.|PRODUCTOS|AMAZONAS|UTCUBAMBA|BAGUA GRANDE|010701|JIRON LIMA N∞ 440 MZA E-2 LOTE 3 SECTOR LA ESPERANZA|corporativo@indusanperu.com|956575500|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
6|20608494988|CONSORCIO LA CUMBRE|PRODUCTOS|ANCASH|HUARAZ|HUARAZ|020101|BAR. VILLON ALTO PRO. SIM”N BOLÕVAR N∞1865|distribuidorcomercializalugos@gmail.com|043221948|RESUELTO|14/04/2023|||||||||||||||||||||||||||||
7|20608494988|CONSORCIO LUGOS|PRODUCTOS|ANCASH|HUARAZ|HUARAZ|020101|BAR. VILLON ALTO PRO. SIMON BOLIVAR N∞1865|distribuidorcomercializalugos@gmail.com|043221948|RESUELTO|14/04/2023|||||||||||||||||||||||||||||
8|20488316649|CONSORCIO COLLCA|PRODUCTOS|ANCASH|HUARAZ|INDEPENDENCIA|020105|AV. CONFRATERNIDAD INTERNACIONAL ESTE MZA 52 LOTE 11 (PASAJE LAS CAMPANILLAS)|elcondorhuarazsrl@hotmail.com|043601611|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
9|20609536897|CONSORCIO MUSHUQ WARAY|PRODUCTOS|ANCASH|CARHUAZ|CARHUAZ|020601|AV. SANTA ROSA S/N|alimentostauri@gmail.com|0|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
10|20609521601|CONSORCIO TRAZA FOODS|PRODUCTOS|ANCASH|SANTA|NUEVO CHIMBOTE|021809|PUEBLO JOVEN VILLA MARIA - JIRON INDEPENDENCIA MZA E LOTE 08|trazafoodseirl@gmail.com|043428593|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
11|10742766565|CONSORCIO GRUPO GABRIEL E HIJOS|PRODUCTOS|ANCASH|SANTA|NUEVO CHIMBOTE|021809|URBANIZACI”N NICOLAS GARATEA CALLE 13 MZA 84 LOTE 7-47-48-49|oagv.almacen@gmail.com|043602685|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
12|20514050211|CONSORCIO IDP|PRODUCTOS|ANCASH|SANTA|NUEVO CHIMBOTE|021809|URBANIZACI”N BUENOS AIRES - AVENIDA CHIMBOTE INTERIOR A - MZA B - LOTE S/N|industriasdelpescadosac@gmail.com|043634606|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
13|20531929471|CONSORCIO SANVEL|PRODUCTOS|ANCASH|SANTA|NUEVO CHIMBOTE|021809|CALLE 5, LOTE 5A MZ.D URB. HABILITACION URBANA PARCELA N∞03 SECTOR LOS ALAMOS|meco580901@gmail.com|952075471|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
14|20601809878|CONSORCIO GRUPO TASAYCO|PRODUCTOS|APURIMAC|ABANCAY|ABANCAY|030101|JIRON LIMA N∞ 113|deliz.hg@gmail.com|957785877|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
15|20600463951|CONSORCIO DIGRAL|PRODUCTOS|APURIMAC|ABANCAY|TAMBURCO|030109|AVENIDA INCA GARCILAZO DE LA VEGA N∞ S/N|digrale.industriass@gmail.com|983919172|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
