#;BIMESTRE;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;AFILIADOS;ABONADOS;MIEMBROS_OBJ;TRANSFERENCIA
1;2024-1;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;340;314;724;62100
2;2024-1;010102;AMAZONAS;CHACHAPOYAS;ASUNCIÓN;16;17;34;3400
3;2024-1;010103;AMAZONAS;CHACHAPOYAS;BALSAS;103;103;220;20400
4;2024-1;010104;AMAZONAS;CHACHAPOYAS;CHETO;41;40;63;8000
5;2024-1;010105;AMAZONAS;CHACHAPOYAS;CHILIQUÍN;62;61;107;12000
6;2024-1;010106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;194;192;407;38200
7;2024-1;010107;AMAZONAS;CHACHAPOYAS;GRANADA;30;29;60;5800
8;2024-1;010108;AMAZONAS;CHACHAPOYAS;HUANCAS;32;31;53;5900
9;2024-1;010109;AMAZONAS;CHACHAPOYAS;LA JALCA;667;656;1417;130500
10;2024-1;010110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;257;246;469;48400
11;2024-1;010111;AMAZONAS;CHACHAPOYAS;LEVANTO;29;28;61;5600
12;2024-1;010112;AMAZONAS;CHACHAPOYAS;MAGDALENA;64;62;116;12400
13;2024-1;010113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;65;65;111;12900
14;2024-1;010114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;176;169;304;33800
15;2024-1;010115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;31;31;55;6200
16;2024-1;010116;AMAZONAS;CHACHAPOYAS;OLLEROS;30;31;44;6100
17;2024-1;010117;AMAZONAS;CHACHAPOYAS;QUINJALCA;81;78;134;15300
18;2024-1;010118;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;7;7;14;1400
19;2024-1;010119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;42;42;84;8400
20;2024-1;010120;AMAZONAS;CHACHAPOYAS;SOLOCO;120;117;213;23000
21;2024-1;010121;AMAZONAS;CHACHAPOYAS;SONCHE;19;16;32;3200
22;2024-1;010201;AMAZONAS;BAGUA;BAGUA;410;362;879;70300
23;2024-1;010202;AMAZONAS;BAGUA;ARAMANGO;1125;1087;2270;215150
24;2024-1;010203;AMAZONAS;BAGUA;COPALLÍN;510;503;821;99600
25;2024-1;010204;AMAZONAS;BAGUA;EL PARCO;140;138;248;27600
