FECHACORTE;CERTIFICADO_VERIFICACION_GASTOS;TIPO_DOCUMENTO_SOLICITANTE;NUMERODOCUMENTO_SOLICITANTE;NOMBRES_SOLICITANTE;NUMEROPROYECTOEDITORIAL;MONTO_IGV;PERIODO;FECHA_INICIO_TRAMITE;FECHA_FIN_TRAMITE
20230822;1.5012E+12;RUC;B0EEA4EFF6A70F9A7EBA;PESOPLUMA S.A.C.;3.15012E+13;427.12;May-22;20221108;20221202
20230822;1.5012E+12;RUC;B0EEA4EFF6A70F9A7EBA;PESOPLUMA S.A.C.;3.15012E+13;1388.14;Feb-21;20221108;20221123
20230822;1.5012E+12;RUC;B0EEA4EFF6A70F9A7EBA;PESOPLUMA S.A.C.;3.15012E+13;579.66;Ago-21;20221108;20221116
20230822;1.5012E+12;RUC;B0EEA4EFF6A70F9A7EBA;PESOPLUMA S.A.C.;3.15012E+13;1891.53;Ene-21;20221108;20221116
20230822;1.20101E+12;RUC;E299501A1F7A22F56356;EDITORIAL LEE PERU S.A.C.;3.1201E+13;15359.49;Feb-22;20221024;20221101
20230822;1.50131E+12;RUC;D9275ECE28E458D25CEA;MONIMO S.A.C.;3.15013E+13;1373.04;May-22;20221010;20221101
20230822;1.50131E+12;RUC;D9275ECE28E458D25CEA;MONIMO S.A.C.;3.15013E+13;2481.48;Abr-22;20221010;20221101
20230822;1.50112E+12;RUC;193C4EB15E6FC52ADBDC;EDITORIAL AGÜERO E.I.R.L.;3.15011E+13;2107.53;Ene-22;20221003;20221028
20230822;1.50112E+12;RUC;193C4EB15E6FC52ADBDC;EDITORIAL AGÜERO E.I.R.L.;3.15011E+13;971.39;Dic-21;20221003;20221028
20230822;1.50112E+12;RUC;193C4EB15E6FC52ADBDC;EDITORIAL AGÜERO E.I.R.L.;3.15011E+13;1393.39;Nov-21;20221003;20221028
20230822;1.20107E+12;RUC;24F5589972FF987E903F;EDITORIAL ALBUM DE ORO S.A.C.;3.12011E+13;19117.83;Nov-21;20220926;20221014
20230822;1.20107E+12;RUC;7E6D50F44BCE8BE338F2;APOLO EDITORES CORPORATIVOS S.A.C.;3.12011E+13;18360;Feb-20;20220926;20221014
20230822;1.50125E+12;RUC;D2B7F2AC06E506B049DC;GRUPO PAKARINA SAC;3.15013E+13;1441.53;Abr-22;20220831;20220928
20230822;1.50104E+12;RUC;719BEFD88E7B6B7D05F6;TALLARINES VERDES E.I.R.L.;3.1501E+13;1128.81;May-22;20220829;20220928
20230822;1.50132E+12;RUC;6C803678B8206CEB50FB;EDITORIAL TODOS LIBROS E.I.R.L.;3.15013E+13;15594.41;Jun-22;20220908;20220914
20230822;1.50132E+12;RUC;6C803678B8206CEB50FB;EDITORIAL TODOS LIBROS E.I.R.L.;3.15013E+13;10715.57;Jun-22;20220908;20220914
20230822;1.50132E+12;RUC;6C803678B8206CEB50FB;EDITORIAL TODOS LIBROS E.I.R.L.;3.15013E+13;16240.27;Jun-22;20220908;20220914
20230822;1.50132E+12;RUC;6C803678B8206CEB50FB;EDITORIAL TODO LIBROS E.I.R.L.;3.15013E+13;15473.59;Jun-22;20220908;20220914
20230822;1.50132E+12;RUC;6C803678B8206CEB50FB;EDITORIAL TODOS LIBROS E.I.R.L.;3.15013E+13;17713.98;Jun-22;20220908;20220914
20230822;1.50104E+12;RUC;99B629D0AF401E221D86;EDICIONES PICHONCITO S.A.C.;3.1501E+13;7668;Set-21;20220822;20220914
20230822;1.50125E+12;RUC;D2B7F2AC06E506B049DC;GRUPO PAKARINA S.A.C.;3.15013E+13;1430.85;Mar-22;20220810;20220831
20230822;1.50104E+12;RUC;99B629D0AF401E221D86;EDICIONES PICHONCITO S.A.C.;3.1501E+13;10782;Nov-21;20220725;20220826
20230822;1.50104E+12;RUC;99B629D0AF401E221D86;EDICIONES PICHONCITO S.A.C.;3.1501E+13;4492.8;Nov-21;20220725;20220826
20230822;1.5014E+12;RUC;58203517F1D1173E02D3;ASOCIACIÓN CARIDAD Y VERDAD;3.15014E+13;2683.22;Mar-20;20220720;20220811
20230822;1.50135E+12;RUC;37B34ADE14D2D992866C;JUGAR Y APRENDER S.A.C.;3.15014E+13;25217.41;Oct-21;20220722;20220811
20230822;1.50135E+12;RUC;37B34ADE14D2D992866C;JUGAR Y APRENDER S.A.C.;3.15014E+13;4656.3;Dic-20;20220722;20220811
20230822;1.5014E+12;RUC;58203517F1D1173E02D3;ASOCIACIÓN CARIDAD Y VERDAD;3.15014E+13;3776.95;Set-20;20220721;20220811
20230822;1.5014E+12;RUC;58203517F1D1173E02D3;ASOCIACIÓN CARIDAD Y VERDAD;3.15014E+13;1654.92;Mar-20;20220720;20220811
20230822;1.5014E+12;RUC;58203517F1D1173E02D3;ASOCIACIÓN CARIDAD Y VERDAD;3.15014E+13;3584.74;Ago-20;20220720;20220811
20230822;1.5014E+12;RUC;58203517F1D1173E02D3;ASOCIACIÓN CARIDAD Y VERDAD;3.15014E+13;2683.22;Feb-20;20220720;20220811
20230822;1.5014E+12;RUC;58203517F1D1173E02D3;ASOCIACIÓN CARIDAD Y VERDAD;3.15014E+13;2694.42;Ene-20;20220719;20220811
20230822;1.5014E+12;RUC;58203517F1D1173E02D3;ASOCIACIÓN CARIDAD Y VERDAD;3.15014E+13;1654.92;Ene-20;20220719;20220811
20230822;1.5014E+12;RUC;02DB82D78120DE972501;MP EDITORES S.A.C.;3.15014E+13;122451.09;Mar-22;20220712;20220808
20230822;1.5014E+12;RUC;02DB82D78120DE972501;MP EDITORES S.A.C.;3.15014E+13;110747.73;Mar-22;20220712;20220808
20230822;7.01012E+11;RUC;81F999FAF0FBE17258D3;LOMA TIKA E.I.R.L.;3.0701E+13;50614.55;Set-20;20220722;20220808
20230822;7.01012E+11;RUC;81F999FAF0FBE17258D3;LOMA TIKA E.I.R.L.;3.0701E+13;23854.79;Dic-20;20220722;20220808
20230822;1.50101E+12;RUC;2AB0DE2D21E61A6E8FB6;IDEAS SOLUCIÓN EDITORIAL S.A.C.;3.1501E+13;11135.59;Ago-21;20220628;20220725
20230822;1.5012E+12;RUC;B0EEA4EFF6A70F9A7EBA;PESOPLUMA S.A.C.;3.15012E+13;1655.08;Jul-21;20220627;20220722
20230822;1.5012E+12;RUC;B0EEA4EFF6A70F9A7EBA;PESOPLUMA S.A.C.;3.15012E+13;2349.15;Nov-20;20220627;20220721
20230822;1.5014E+12;RUC;58203517F1D1173E02D3;ASOCIACIÓN CARIDAD Y VERDAD;3.15014E+13;2815.93;Dic-19;20220713;20220720
20230822;1.50122E+12;RUC;CB3D90047EC6031B475B;GPO PRODUCCIONES S.A.C.;3.15012E+13;29069.82;May-22;20220614;20220718
20230822;1.5014E+12;RUC;58203517F1D1173E02D3;ASOCIACIÓN CARIDAD Y VERDAD;3.15014E+13;1654.92;Nov-19;20220622;20220718
20230822;1.5014E+12;RUC;58203517F1D1173E02D3;ASOCIACIÓN CARIDAD Y VERDAD;3.15014E+13;2815.93;Nov-19;20220622;20220718
20230822;1.5014E+12;RUC;58203517F1D1173E02D3;ASOCIACIÓN CARIDAD Y VERDAD;3.15014E+13;2815.93;Oct-19;20220622;20220714
20230822;1.5014E+12;RUC;58203517F1D1173E02D3;ASOCIACIÓN CARIDAD Y VERDAD;3.15014E+13;4097.29;Oct-19;20220617;20220714
20230822;1.50122E+12;RUC;719BEFD88E7B6B7D05F6;TALLARINES VERDES E.I.R.L;3.15012E+13;2598.7;Ene-22;20220518;20220615
20230822;1.50131E+12;RUC;D9275ECE28E458D25CEA;MONIMO S.A.C.;3.15013E+13;2852.55;Dic-21;20220303;20220328
20230822;1.50131E+12;RUC;D9275ECE28E458D25CEA;MONIMO S.A.C.;3.15013E+13;2852.55;Nov-21;20220303;20220328
20230822;1.50131E+12;RUC;D9275ECE28E458D25CEA;MONIMO S.A.C.;3.15013E+13;1588.32;Dic-21;20220303;20220322
20230822;1.50131E+12;RUC;D9275ECE28E458D25CEA;MONIMO S.A.C.;3.15013E+13;1588.32;Nov-21;20220303;20220322
20230822;1.50122E+12;RUC;567F12F58D0A3DF497C6;G Y J PRODUCCIONES EDITORIALES S.A.C.;3.15012E+13;21173.76;Dic-21;20220106;20220131
