AÑO;MES;CONCESION;ENTIDAD PRESTADORA;FERROCARRIL;TIPO DE MATERIAL RODANTE; KM RECORRIDOS 
2019;1;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES;0
2019;1;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES;0
2019;1;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS;59,801.90
2019;1;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES;943,433.68
2019;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES;0
2019;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES;139.1
2019;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS;49,279.27
2019;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES;720,961.13
2019;3;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES;0
2019;3;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES;41.3
2019;3;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS;56,272.59
2019;3;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES;742,499.55
2019;4;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES;0
2019;4;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES;3,999.60
2019;4;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS;64,643.06
2019;4;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES;957,714.34
2019;5;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES;0
2019;5;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES;1,999.80
2019;5;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS;62,972.20
2019;5;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES;907,438.04
2019;6;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES;0
2019;6;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES;3,320.96
2019;6;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS;63,284.96
2019;6;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES;948,779.68
2019;7;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES;0
2019;7;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES;6,748.70
2019;7;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS;62,969.22
2019;7;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES;893,958.96
2019;8;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES;0
2019;8;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES;3,185.80
2019;8;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS;62,443.48
2019;8;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES;901,979.09
2019;9;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES;0
2019;9;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES;4,010.22
2019;9;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS;60,807.78
2019;9;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES;869,299.39
2019;10;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES;0
2019;10;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES;4,845.70
2019;10;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS;62,724.46
2019;10;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES;959,238.00
2019;11;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES;0
2019;11;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES;3,666.30
2019;11;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS;64,261.78
2019;11;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES;961,225.90
2019;12;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES;0
2019;12;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES;2,415.20
2019;12;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS;66,286.78
2019;12;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES;1,016,017.80
2020;1;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2020;1;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; 1,152 
2020;1;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 62,707 
2020;1;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 925,147 
2020;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;AUTOVAGONES; -   
2020;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;COCHES; 180 
2020;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;LOCOMOTORAS; 55,427 
2020;2;FERROCARRIL DEL CENTRO;FERROVÍAS CENTRAL ANDINA S.A.  ;FERROCARRIL DEL CENTRO;VAGONES; 850,896 
